x	y1_raw	y1_norm	PMF_y1	y2_raw	y2_norm	PMF_y2	y3_raw	y3_norm	PMF_y3	y4_raw	y4_norm	PMF_y4	y5_raw	y5_norm	PMF_y5	y6_raw	y6_norm	PMF_y6
65.500000	0.000000	0.000000	14.911959	0.000620	0.000636	4.389243	0.000010	0.000010	13.772079	0.001290	0.001490	3.057347	0.000020	0.000019	12.826556	0.001230	0.001380	2.857450
66.500000	0.000000	0.000000	14.911959	0.000330	0.000338	5.979733	0.000000	0.000000	15.494462	0.000720	0.000832	4.546746	0.000000	0.000000	15.601978	0.000750	0.000842	4.120614
67.500000	0.000000	0.000000	14.911959	0.000150	0.000154	7.924548	0.000000	0.000000	15.494462	0.000360	0.000416	6.302780	0.000000	0.000000	15.601978	0.000410	0.000460	5.652139
68.500000	0.000000	0.000000	14.911959	0.000050	0.000051	10.459064	0.000000	0.000000	15.494462	0.000150	0.000173	8.475785	0.000000	0.000000	15.601978	0.000190	0.000213	7.571749
69.500000	0.000000	0.000000	14.911959	0.000020	0.000021	12.256111	0.000000	0.000000	15.494462	0.000060	0.000069	10.634606	0.000000	0.000000	15.601978	0.000080	0.000090	9.647090
70.500000	0.000000	0.000000	14.911959	0.000000	0.000000	15.130334	0.000000	0.000000	15.494462	0.000020	0.000023	12.886457	0.000000	0.000000	15.601978	0.000030	0.000034	11.776924
71.500000	0.000000	0.000000	14.911959	0.000000	0.000000	15.130334	0.000000	0.000000	15.494462	0.000000	0.000000	15.971463	0.000000	0.000000	15.601978	0.000010	0.000011	13.636609
72.500000	0.000000	0.000000	14.911959	0.000000	0.000000	15.130334	0.000000	0.000000	15.494462	0.000000	0.000000	15.971463	0.000000	0.000000	15.601978	0.000000	0.000000	15.576055
73.500000	0.000000	0.000000	14.911959	0.000000	0.000000	15.130334	0.000000	0.000000	15.494462	0.000000	0.000000	15.971463	0.000000	0.000000	15.601978	0.000000	0.000000	15.576055
74.500000	0.000000	0.000000	14.911959	0.000000	0.000000	15.130334	0.000000	0.000000	15.494462	0.000000	0.000000	15.971463	0.000000	0.000000	15.601978	0.000000	0.000000	15.576055
