z_center	theta_center	count	angle_type
-44.848589	23.409249	1156	theta2
-44.848589	27.008736	1337	theta2
-44.848589	30.608224	1542	theta2
-44.848589	34.207712	1720	theta2
-44.848589	37.807199	1860	theta2
-44.848589	41.406687	2035	theta2
-44.848589	45.006175	2091	theta2
-44.848589	48.605662	2201	theta2
-44.848589	52.205150	2409	theta2
-44.848589	55.804637	2360	theta2
-44.848589	59.404125	2632	theta2
-44.848589	63.003613	2700	theta2
-44.848589	66.603100	2710	theta2
-44.848589	70.202588	2746	theta2
-44.848589	73.802075	2947	theta2
-44.848589	77.401563	2944	theta2
-44.848589	81.001051	2974	theta2
-44.848589	84.600538	2990	theta2
-44.848589	88.200026	3024	theta2
-44.848589	91.799513	2977	theta2
-44.848589	95.399001	2966	theta2
-44.848589	98.998489	3040	theta2
-44.848589	102.597976	2984	theta2
-44.848589	106.197464	2993	theta2
-44.848589	109.796951	2884	theta2
-44.848589	113.396439	2807	theta2
-44.848589	116.995927	2734	theta2
-44.848589	120.595414	2512	theta2
-44.848589	124.194902	2568	theta2
-44.848589	127.794389	2344	theta2
-44.848589	131.393877	2314	theta2
-44.848589	134.993365	2049	theta2
-44.848589	138.592852	1960	theta2
-44.848589	142.192340	1891	theta2
-44.848589	145.791828	1769	theta2
-44.848589	149.391315	1530	theta2
-44.848589	152.990803	1338	theta2
-44.848589	156.590290	1155	theta2
-44.848589	160.189778	1022	theta2
-44.848589	163.789266	821	theta2
-44.848589	167.388753	685	theta2
-44.848589	170.988241	504	theta2
-44.848589	174.587728	285	theta2
-44.848589	178.187216	94	theta2
-41.827019	1.812323	93	theta2
-41.827019	5.411811	287	theta2
-41.827019	9.011298	476	theta2
-41.827019	12.610786	682	theta2
-41.827019	16.210274	824	theta2
-41.827019	19.809761	1064	theta2
-41.827019	23.409249	1204	theta2
-41.827019	27.008736	1298	theta2
-41.827019	30.608224	1518	theta2
-41.827019	34.207712	1671	theta2
-41.827019	37.807199	1946	theta2
-41.827019	41.406687	2041	theta2
-41.827019	45.006175	2084	theta2
-41.827019	48.605662	2283	theta2
-41.827019	52.205150	2344	theta2
-41.827019	55.804637	2480	theta2
-41.827019	59.404125	2546	theta2
-41.827019	63.003613	2673	theta2
-41.827019	66.603100	2718	theta2
-41.827019	70.202588	2802	theta2
-41.827019	73.802075	2884	theta2
-41.827019	77.401563	3014	theta2
-41.827019	81.001051	2913	theta2
-41.827019	84.600538	2968	theta2
-41.827019	88.200026	3076	theta2
-41.827019	91.799513	3031	theta2
-41.827019	95.399001	2947	theta2
-41.827019	98.998489	2889	theta2
-41.827019	102.597976	2944	theta2
-41.827019	106.197464	2902	theta2
-41.827019	109.796951	2835	theta2
-41.827019	113.396439	2796	theta2
-41.827019	116.995927	2706	theta2
-41.827019	120.595414	2506	theta2
-41.827019	124.194902	2462	theta2
-41.827019	127.794389	2347	theta2
-41.827019	131.393877	2275	theta2
-41.827019	134.993365	2114	theta2
-41.827019	138.592852	1908	theta2
-41.827019	142.192340	1923	theta2
-41.827019	145.791828	1612	theta2
-41.827019	149.391315	1489	theta2
-41.827019	152.990803	1295	theta2
-41.827019	156.590290	1165	theta2
-41.827019	160.189778	1025	theta2
-41.827019	163.789266	788	theta2
-41.827019	167.388753	619	theta2
-41.827019	170.988241	506	theta2
-41.827019	174.587728	288	theta2
-41.827019	178.187216	93	theta2
-38.805448	1.812323	100	theta2
-38.805448	5.411811	284	theta2
-38.805448	9.011298	472	theta2
-38.805448	12.610786	669	theta2
-38.805448	16.210274	894	theta2
-38.805448	19.809761	1048	theta2
-38.805448	23.409249	1174	theta2
-38.805448	27.008736	1380	theta2
-38.805448	30.608224	1522	theta2
-38.805448	34.207712	1681	theta2
-38.805448	37.807199	1834	theta2
-38.805448	41.406687	2011	theta2
-38.805448	45.006175	2186	theta2
-38.805448	48.605662	2303	theta2
-38.805448	52.205150	2486	theta2
-38.805448	55.804637	2554	theta2
-38.805448	59.404125	2619	theta2
-38.805448	63.003613	2783	theta2
-38.805448	66.603100	2813	theta2
-38.805448	70.202588	2857	theta2
-38.805448	73.802075	2911	theta2
-38.805448	77.401563	2985	theta2
-38.805448	81.001051	2953	theta2
-38.805448	84.600538	3028	theta2
-38.805448	88.200026	2978	theta2
-38.805448	91.799513	2980	theta2
-38.805448	95.399001	3041	theta2
-38.805448	98.998489	2914	theta2
-38.805448	102.597976	2916	theta2
-38.805448	106.197464	2918	theta2
-38.805448	109.796951	2835	theta2
-38.805448	113.396439	2727	theta2
-38.805448	116.995927	2770	theta2
-38.805448	120.595414	2705	theta2
-38.805448	124.194902	2608	theta2
-38.805448	127.794389	2368	theta2
-38.805448	131.393877	2249	theta2
-38.805448	134.993365	2072	theta2
-38.805448	138.592852	1999	theta2
-38.805448	142.192340	1733	theta2
-38.805448	145.791828	1747	theta2
-38.805448	149.391315	1509	theta2
-38.805448	152.990803	1387	theta2
-38.805448	156.590290	1221	theta2
-38.805448	160.189778	979	theta2
-38.805448	163.789266	845	theta2
-38.805448	167.388753	654	theta2
-38.805448	170.988241	473	theta2
-38.805448	174.587728	292	theta2
-38.805448	178.187216	110	theta2
-35.783878	1.812323	97	theta2
-35.783878	5.411811	299	theta2
-35.783878	9.011298	460	theta2
-35.783878	12.610786	683	theta2
-35.783878	16.210274	859	theta2
-35.783878	19.809761	1019	theta2
-35.783878	23.409249	1242	theta2
-35.783878	27.008736	1409	theta2
-35.783878	30.608224	1626	theta2
-35.783878	34.207712	1669	theta2
-35.783878	37.807199	1914	theta2
-35.783878	41.406687	1958	theta2
-35.783878	45.006175	2287	theta2
-35.783878	48.605662	2260	theta2
-35.783878	52.205150	2415	theta2
-35.783878	55.804637	2506	theta2
-35.783878	59.404125	2591	theta2
-35.783878	63.003613	2682	theta2
-35.783878	66.603100	2803	theta2
-35.783878	70.202588	2849	theta2
-35.783878	73.802075	2935	theta2
-35.783878	77.401563	2989	theta2
-35.783878	81.001051	3034	theta2
-35.783878	84.600538	2996	theta2
-35.783878	88.200026	3098	theta2
-35.783878	91.799513	2939	theta2
-35.783878	95.399001	2998	theta2
-35.783878	98.998489	2953	theta2
-35.783878	102.597976	2886	theta2
-35.783878	106.197464	2915	theta2
-35.783878	109.796951	2808	theta2
-35.783878	113.396439	2719	theta2
-35.783878	116.995927	2720	theta2
-35.783878	120.595414	2645	theta2
-35.783878	124.194902	2507	theta2
-35.783878	127.794389	2349	theta2
-35.783878	131.393877	2241	theta2
-35.783878	134.993365	2101	theta2
-35.783878	138.592852	1969	theta2
-35.783878	142.192340	1846	theta2
-35.783878	145.791828	1613	theta2
-35.783878	149.391315	1498	theta2
-35.783878	152.990803	1359	theta2
-35.783878	156.590290	1237	theta2
-35.783878	160.189778	984	theta2
-35.783878	163.789266	827	theta2
-35.783878	167.388753	617	theta2
-35.783878	170.988241	485	theta2
-35.783878	174.587728	289	theta2
-35.783878	178.187216	86	theta2
-32.762307	1.812323	94	theta2
-32.762307	5.411811	294	theta2
-32.762307	9.011298	504	theta2
-32.762307	12.610786	696	theta2
-32.762307	16.210274	821	theta2
-32.762307	19.809761	1028	theta2
-32.762307	23.409249	1190	theta2
-32.762307	27.008736	1369	theta2
-32.762307	30.608224	1581	theta2
-32.762307	34.207712	1737	theta2
-32.762307	37.807199	1838	theta2
-32.762307	41.406687	2019	theta2
-32.762307	45.006175	2176	theta2
-32.762307	48.605662	2333	theta2
-32.762307	52.205150	2418	theta2
-32.762307	55.804637	2466	theta2
-32.762307	59.404125	2748	theta2
-32.762307	63.003613	2701	theta2
-32.762307	66.603100	2907	theta2
-32.762307	70.202588	2902	theta2
-32.762307	73.802075	3007	theta2
-32.762307	77.401563	3111	theta2
-32.762307	81.001051	3006	theta2
-32.762307	84.600538	3067	theta2
-32.762307	88.200026	3052	theta2
-32.762307	91.799513	3087	theta2
-32.762307	95.399001	3032	theta2
-32.762307	98.998489	2995	theta2
-32.762307	102.597976	2964	theta2
-32.762307	106.197464	2904	theta2
-32.762307	109.796951	2912	theta2
-32.762307	113.396439	2778	theta2
-32.762307	116.995927	2709	theta2
-32.762307	120.595414	2571	theta2
-32.762307	124.194902	2480	theta2
-32.762307	127.794389	2344	theta2
-32.762307	131.393877	2273	theta2
-32.762307	134.993365	2146	theta2
-32.762307	138.592852	1966	theta2
-32.762307	142.192340	1903	theta2
-32.762307	145.791828	1651	theta2
-32.762307	149.391315	1519	theta2
-32.762307	152.990803	1371	theta2
-32.762307	156.590290	1175	theta2
-32.762307	160.189778	991	theta2
-32.762307	163.789266	814	theta2
-32.762307	167.388753	614	theta2
-32.762307	170.988241	521	theta2
-32.762307	174.587728	288	theta2
-32.762307	178.187216	90	theta2
-29.740736	1.812323	77	theta2
-29.740736	5.411811	247	theta2
-29.740736	9.011298	409	theta2
-29.740736	12.610786	579	theta2
-29.740736	16.210274	708	theta2
-29.740736	19.809761	925	theta2
-29.740736	23.409249	1076	theta2
-29.740736	27.008736	1246	theta2
